figure_file,use_in_report_main_or_appendix,claim_supported,caution_note
per_operation_timing_report.png/.pdf,main,"PRIMARY computation result: basic signature operations (KeyGen, Sign, Verify) versus LAS adaptor operations (PreSign, PreVerify, Adapt, Ext), per operation; parameter settings shown only as scaling context","report-clean; error bars = sample standard deviation; story is basic vs LAS, not paper vs L2/L3/L5"
communication_components_clean_report.png/.pdf,main,"PRIMARY communication result: byte size of every object (public key, secret key, statement, adaptor witness, challenge, response, signature, pre-signature, adapted signature); the signature does not grow under adaptation, LAS adds the statement","report-clean; serialized size in bytes, not on-chain gas; headline setting"
adaptor_overhead_vs_level_report.png/.pdf,main,"Overhead / scaling support: percent overhead of each LAS adaptor operation versus the matching basic operation, across the paper, L2-like, L3-like and L5-like parameter settings",supporting; shows the basic-vs-LAS overhead stays small as parameters scale
parameter_sets_report.png/.pdf,main,"Setup / context (NOT a result): the engineering parameter settings paper, L2-like, L3-like, L5-like used for scaling; defines module ranks n and ell, response dimension M=n+ell, challenge weight kappa, masking bound gamma, ring degree N, modulus Q","context only; engineering scaling settings, not formal NIST security levels"
parameter_sets.png/.pdf,appendix,Parameter-set table with explanatory footnote + machine footer,standalone variant of parameter_sets_report
per_operation_timing.png/.pdf,appendix,Per-operation timing with title + machine footer,standalone variant of per_operation_timing_report
adaptor_overhead_vs_level.png/.pdf,appendix,Adaptor overhead across paper/L2/L3/L5 with title + machine footer,standalone variant of adaptor_overhead_vs_level_report
communication_components_clean.png/.pdf,appendix,Component sizes with callout note + machine footer,standalone variant of communication_components_clean_report
timing_timeline_base_vs_las.png/.pdf,appendix,End-to-end CUMULATIVE cost of the base vs LAS path (context only),cumulative supporting view; per_operation_timing is the headline (Meeting-4)
protocol_step_timeline.png/.pdf,appendix,CUMULATIVE cost per named protocol step; full LAS cycle ~30% over base,cumulative supporting view; demoted in favour of per_operation_timing
timing_overhead_clean.png/.pdf,appendix,"Adaptor overhead per mirrored pair: PreSign~Sign, PreVerify~Verify, Adapt~Verify",headline-level pairs; per-level numbers in adaptor_overhead.csv; Ext has no mirrored basic op
computation_component_absolute.png/.pdf,appendix,Where LAS compute time goes (A-product/hash/c*r dominate),"DIAGNOSTIC component attribution from local copies, NOT a full-protocol %"
communication_summary_clean.png/.pdf,appendix,Signature/pre-sig/off-chain/settlement byte totals; response z dominates,"byte-level payload only, NOT EVM gas; superseded by communication_components_clean"
acceptance_vs_level.png/.pdf,appendix,Rejection-sampling acceptance ~37% (~ e^-1) at every parameter set,cross-level; from rejection_sampling.csv
component_scaling_vs_level.png/.pdf,appendix,c*r one-poly flat ~14us; aggregate c*r/c*t/A-product grow with M=n+ell,"cross-level; DIAGNOSTIC component estimates, not protocol %"
verify_ext_attribution_vs_level.png/.pdf,appendix,Measured attribution across levels: Verify=A*z-c*t+hash; Ext~one A*s,cross-level; stacked components vs the protocol op (black tick); estimates
parameter_sets.csv,table only,machine-readable parameter sets backing the parameter_sets figure,
parameter_sets.tex,table only,LaTeX tabular of the parameter sets (\input into the report),
KEY_FINDINGS.md,table only,2-3 sentence summary of the headline findings (auto-generated),
primary_timing.csv,table only,per-op mean+/-SD across paper/L2/L3/L5,
adaptor_overhead.csv,table only,overhead % per mirrored pair across levels,
rejection_sampling.csv,table only,avg/accept%/min/max/p50/p95 for Base Sign and LAS PreSign,diagnostic; no figure generated by default
communication_components.csv,table only,per-component packed bytes and % of signature across levels,
computation_components.csv,table only,diagnostic component timings incl. c*r one-poly,"diagnostic attribution, not protocol %"
las_object_catalogue.csv,table only,"object sizes with paper notation (pk=t, sk=r, Y=t', r', ...)",no figure generated by default (catalogue bar chart was too crowded)
application_atomic_swap_payload_breakdown.png/.pdf,appendix,Atomic-swap payload story: off-chain (Y + 2 pre-sigs) vs settlement (2 sigs),"Stage-2 (deferred per Meeting-4); L3-like (bench_app3); simulated-ledger proxy, NOT gas"
application_atomic_swap.csv,table only,atomic-swap payload / timing / attempts / correctness,L3-like
application_payload_breakdown.csv,table only,"atomic-swap payload composition (off-chain, settlement, settlement incl. Y)",L3-like
application_multihop_amhl.csv,table only,"multi-hop AMHL K-series: bound, #presig, attempts, time, payload, witness norm",L3-like
application_multihop_payload_vs_k.png/.pdf,appendix,Multi-hop settlement payload grows linearly in path length K,Stage-2 (deferred per Meeting-4); L3-like; simulated-ledger byte proxy
application_multihop_presign_time_vs_k.png/.pdf,appendix,Multi-hop pre-sign time per route vs K (roughly flat per hop),L3-like; mean over the bench_app3 routes/K
application_multihop_norm_vs_k.png/.pdf,appendix,"AMHL achieved witness norm ||s_j||inf vs the PreSign bound g-k-K: the bound is extremely loose (witness <= K, bound ~ gamma)","Stage-2 (deferred per Meeting-4); L3-like; log y-axis; norm grows <=K, bound ~flat"
