artefact,role,claim,note
parameter_sets_paper.tex,Table 1 (main),"Parameter settings: n, ell, M=n+ell, kappa, gamma, N, Q","engineering settings for scaling context, not NIST-equivalent security levels"
per_operation_timing_paper.png/.pdf,Figure 1 (main),Per-operation computation: basic signature (KeyGen/Sign/Verify) vs LAS adaptor (PreSign/PreVerify/Adapt/Ext) at the headline setting; mean +/- SD,"operations reported independently, not cumulatively"
per_operation_timing_paper.tex,Figure 1 companion table (main),Per-operation mean +/- SD (microseconds) across all settings,
communication_components_paper.png/.pdf,Figure 2 (main),"Serialized sizes: pk, sk, c, z/z_hat, statement Y, witness, signature, pre-signature, adapted signature; the three signatures are equal size",LAS adds the statement Y; it does not enlarge the final signature
communication_components_paper.tex,Table 2 (main),"Same component sizes as Figure 2, as a table",
adaptor_overhead_paper.png/.pdf,Figure 3 (main),"Adaptor overhead (percent) vs the matching basic operation across settings (PreSign vs Sign, PreVerify vs Verify, Adapt vs Verify)","x-axis is parameter setting / scaling context, not a security-level comparison"
KEY_FINDINGS_paper.md,main (text),Extra computation; signature size unchanged; statement Y added,
rejection_sampling_paper.png/.pdf,"appendix (optional, supporting)",Rejection-sampling acceptance per attempt (~1/e) for basic Sign and LAS PreSign; explains timing variance and that the adaptor does not change it,"supporting only, not part of the main claim"
per_operation_timing_report.png/.pdf,excluded from main,,duplicate report variant
communication_components_clean_report.png/.pdf,excluded from main,,duplicate report variant
adaptor_overhead_vs_level_report.png/.pdf,excluded from main,,duplicate report variant
parameter_sets_report.png/.pdf,excluded from main,,parameter PNG (use Table 1 instead)
parameter_sets.png/.pdf,excluded from main,,parameter PNG (use Table 1 instead)
per_operation_timing.png/.pdf,excluded from main,,duplicate variant
communication_components_clean.png/.pdf,excluded from main,,duplicate variant
adaptor_overhead_vs_level.png/.pdf,excluded from main,,duplicate variant
timing_timeline_base_vs_las.png/.pdf,excluded from main,,cumulative timeline (excluded)
protocol_step_timeline.png/.pdf,excluded from main,,cumulative protocol-step plot (excluded)
timing_overhead_clean.png/.pdf,excluded from main,,superseded by adaptor_overhead_paper
computation_component_absolute.png/.pdf,excluded from main,,component micro-attribution (evidence/debug)
component_scaling_vs_level.png/.pdf,excluded from main,,component micro-attribution (evidence/debug)
verify_ext_attribution_vs_level.png/.pdf,excluded from main,,component micro-attribution (evidence/debug)
communication_summary_clean.png/.pdf,excluded from main,,mixes stage-1 sizes with stage-2 payloads (excluded)
acceptance_vs_level.png/.pdf,excluded from main,,superseded by rejection_sampling_paper
application_atomic_swap_payload_breakdown.png/.pdf,excluded from main,,"atomic-swap figure (stage-2, excluded from main)"
application_multihop_payload_vs_k.png/.pdf,excluded from main,,"AMHL/multi-hop figure (stage-2, excluded)"
application_multihop_presign_time_vs_k.png/.pdf,excluded from main,,"AMHL/multi-hop figure (stage-2, excluded)"
application_multihop_norm_vs_k.png/.pdf,excluded from main,,"AMHL/multi-hop figure (stage-2, excluded)"
