figure_file,use_in_report_main_or_appendix,claim_supported,caution_note
timing_timeline_base_vs_las.png/.pdf,main,Base and LAS protocol cost timelines across paper/L2/L3/L5,two SEPARATE protocols shown side by side; NOT summed into one pipeline
protocol_step_timeline.png/.pdf,main,"Cumulative cost per NAMED protocol step; full LAS cycle ~30% over base, dominated by the shared rejection-sampling Sign/PreSign step","per-level; base and LAS are two separate protocols (not summed); paths share step 1-2 names (Sign/PreSign, Verify/PreVerify), LAS adds Adapt + Ext"
timing_overhead_clean.png/.pdf,main,"Adaptor overhead is small: PreSign~Sign, PreVerify~Verify, Adapt~Verify",headline L3 only; per-level numbers in adaptor_overhead.csv; Ext has no base op
computation_component_absolute.png/.pdf,main,Where LAS compute time goes (A-product/hash/c*r dominate),"DIAGNOSTIC component attribution from local copies, NOT a full-protocol %; L3"
communication_summary_clean.png/.pdf,main,Signature/pre-sig/off-chain/settlement byte sizes; response z dominates,"byte-level payload only, NOT EVM gas; headline L3"
primary_timing.csv,table only,per-op mean+/-SD across paper/L2/L3/L5,
adaptor_overhead.csv,table only,overhead % per mirrored pair across levels,
rejection_sampling.csv,table only,avg/accept%/min/max/p50/p95 for Base Sign and LAS PreSign,diagnostic; no figure generated by default
communication_components.csv,table only,per-component packed bytes and % of signature across levels,
computation_components.csv,table only,diagnostic component timings incl. c*r one-poly,"diagnostic attribution, not protocol %"
las_object_catalogue.csv,table only,"object sizes with paper notation (pk=t, sk=r, Y=t', r'=y_witness, ...)",no figure generated by default (catalogue bar chart was too crowded)
adaptor_overhead_vs_level.png/.pdf,main,Adaptor overhead small and stable across paper/L2/L3/L5 (all single-digit %),cross-level; from adaptor_overhead.csv (the paper set is the noisiest)
acceptance_vs_level.png/.pdf,appendix,Rejection-sampling acceptance ~37% (~ e^-1) at every parameter set,cross-level; from rejection_sampling.csv
component_scaling_vs_level.png/.pdf,main,c*r one-poly flat ~14us; aggregate c*r/c*t/A-product grow with M=n+ell,"cross-level; DIAGNOSTIC component estimates, not protocol %"
verify_ext_attribution_vs_level.png/.pdf,main,Measured attribution across levels: Verify=A*z+c*t+hash; Ext~one A*s,cross-level; stacked components vs the protocol op (black tick); estimates
application_atomic_swap_payload_breakdown.png/.pdf,main,Atomic-swap payload story: off-chain (Y + 2 pre-sigs) vs settlement (2 sigs),"L3-like (bench_app3 only); simulated-ledger byte proxy, NOT gas"
application_atomic_swap.csv,table only,atomic-swap payload / timing / attempts / correctness,L3-like
application_payload_breakdown.csv,table only,"atomic-swap payload composition (off-chain, settlement, settlement incl. Y)",L3-like
application_multihop_amhl.csv,table only,"multi-hop AMHL K-series: bound, #presig, attempts, time, payload, witness norm",L3-like
application_multihop_payload_vs_k.png/.pdf,main,Multi-hop settlement payload grows linearly in path length K,L3-like; simulated-ledger byte proxy
application_multihop_presign_time_vs_k.png/.pdf,appendix,Multi-hop pre-sign time per route vs K (roughly flat per hop),L3-like; mean over the bench_app3 routes/K
application_multihop_norm_vs_k.png/.pdf,main,"AMHL achieved witness norm ||s_j||inf vs the PreSign bound g-k-K: the bound is extremely loose (witness <= K, bound ~ gamma)","L3-like; log y-axis shows both series; norm grows linearly (<=K), bound ~flat"
